[2025-05-19T15:17:13.702+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 44
[2025-05-19T15:17:14.177+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:14.177+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 45
[2025-05-19T15:17:14.635+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:14.635+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 46
[2025-05-19T15:17:15.109+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:15.109+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 47
[2025-05-19T15:17:15.572+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:15.573+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 48
[2025-05-19T15:17:16.054+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:16.054+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 49
[2025-05-19T15:17:16.513+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:16.513+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 50
[2025-05-19T15:17:17.019+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:17.019+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 51
[2025-05-19T15:17:17.539+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:17.540+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 52
[2025-05-19T15:17:18.026+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:18.027+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 53
[2025-05-19T15:17:18.498+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:18.498+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 54
[2025-05-19T15:17:18.936+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:18.936+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 55
